Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,$97K - $141K (Glassdoor Est.),"Annual Salary Range: VPS4: $90,067 - $102,192
Employment Type: Ongoing, Full Time
Work Location: Melbourne CBD (flexibility may be available)
About the Opportunity
Joining the Department in an ongoing role, you will become part of the centre of excellence in Mobility & Insights for Victoria's transport network. The Data Scientist position is part of the Advanced Analytics Modelling team within the Transport Insights & Evidence branch. You will be working with large data and complex data products to deliver data science techniques that inform key business priorities.
This is a fantastic career opportunity in a growth sector, with multiple avenues for professional development and mentorship from some of the industry's best.

About the Role
We're looking for someone who enjoys working collaboratively to inform strategies and understand impact of policy change on DoT and its operators and keeps up to date with advances in data science. They will demonstrate:

More information is available in the attached Position Description.

Culture and Benefits
The Department of Transport is committed to building a culture of developing our people to achieve great outcomes for the Victorian transport network. We are proud of our commitment to flexible work arrangements that support different ways of working, helping employees balance work and life. We are focused on providing a workplace environment that is rewarding, enjoyable, healthy and productive for all employees, where contributions are valued and recognised, expectations are clear, and treatment is fair and equitable.

How to Apply
Applications should include a resume and a covering letter.
Applications close 11.59pm on Sunday August 7th 2022.
For a confidential discussion regarding this opportunity, please call Tim Spalding, Manager, Advanced Analytics Modelling on 03 83928767

This position requires the successful employee to provide evidence of being fully vaccinated against COVID-19, or medical evidence which confirms the individual is unable to receive a dose, or a further dose, of a COVID-19 vaccine due to a medical contraindication or an acute medical illness.
Failure to comply with this condition of employment will impact your eligibility for employment in this position with DoT.
Preferred applicants may be subject to pre-employment checks. Information provided to the Department of Transport will be treated in the strictest confidence.",5.0,"Department of Transport
5.0",Melbourne,501 to 1000 Employees,-1,Government,-1,-1,Unknown / Non-Applicable
Junior Data Analyst - Western Public Health Unit,$97K - $141K (Glassdoor Est.),"Job Description
Location: Melbourne | Western Metropolitan
Job type: Not provided
Organisation: Western Health
Salary: Salary not specified
Occupation: Health and Allied Health
Reference: 46631",3.9,"Western Health
3.9",Melbourne,5001 to 10000 Employees,-1,Hospital,-1,-1,Unknown / Non-Applicable
Junior Data Analyst,$97K - $141K (Glassdoor Est.),"Role overview:
Hearts & Science, Australia

Full time, flexible working
Sydney
Our culture
Our agency culture is prized and something we work hard at maintaining. We describe our culture as 'Winning with Heart', where we blend both to achieve a culture where people can flourish, be the best they can be and importantly be true to themselves.

4 key values inform everything we do:
Hearts' focus
At Hearts, we're defining the future of media, using data to sharpen our understanding of consumers and the media's impact on business outcomes. This approach requires rethinking traditional ways of working, questioning everything and using data and technology to empower smarter decisions, to ultimately deliver better business results, not just cost savings.
What are we looking for?
Supporting our Australia and New Zealand teams, we are looking for a Junior Data Analyst in a to help build out our data capabilities and work with our global teams to develop greater insights from our client's data
This role will see you work with some of our key clients in the region as well as be instrumental in our new business pitches moving forward.
Your day to day

*
The people who will flourish at Hearts are fluent in digital, interested in using data to inform and technology platforms to enable. More specifically:

Hearts & Science, Australia
Hearts is a full-service data driven marketing and communications agency, and the third global agency pillar of the Omnicom Media Group. Launched in New York in 2016, after the successful appointment by Proctor & Gamble and AT&T shortly thereafter, Hearts offers a differentiated people, process and technology-driven approach to clients, challenging existing agency models to drive greater ROI and leveraging the OMNI audience platform.
Since launch, Hearts has continued to grow, innovate and deliver, extending its network to 24 markets around the world, including London, Tokyo, Toronto and Dubai.
Hearts is in the business of capturing hearts. The hearts of our people, our clients and our clients' customers. To do this requires the alignment of ambition, teams, innovation, creativity, audiences and media to deliver a disproportionate share of ROI. This means rethinking traditional ways of working, questioning everything and using data and technology to empower smarter decisions, to ultimately deliver better business results, not just cost savings.
For more information, please apply with an up to date version of your resume or email fraser.rix@omnicommediagroup.com with any questions.",3.4,"Hearts & Science
3.4",Sydney,1001 to 5000 Employees,2015,Company - Public,Advertising & Public Relations,Media & Communication,$2 to $5 billion (USD)
Data Centre Technician - Multiple Opportunities,$97K - $141K (Glassdoor Est.),"Introduction
At IBM, work is more than a job - it's a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you've never thought possible. Are you ready to lead in this new era of technology and solve some of the world's most challenging problems? If so, lets talk.

Your Role and Responsibilities
Datacentre Technician

Are you looking for a great way to get ahead in your IT career?
Do you have a thirst for knowledge, a will to learn about new technologies, and a desire for continuous personal and professional growth?
Are you ready to work in secure datacentres supporting large corporate & government clients and their mission-critical workloads?



We are looking for a talented and passionate Datacentre Technician to join our growing team.
Based in Erskine Park. Free parking on site.



As a member of one of IBM Cloud’s IaaS Datacentre teams, you will be working alongside skilled technicians on many tasks including, but not limited to:



As the ideal candidate, you will have some experience in the following areas, or will be able to demonstrate knowledge of them:

As these responsibilities are both around-the-clock and mission-critical in nature, the Datacentre Technician teams work a 4-day-on, 3-day-off rotating shift roster.

The role also has some core responsibilities that are physically demanding, so you will need to ensure that you are comfortable performing periodic lifting of IT equipment using appropriate mechanical aids and PPE.

You must be an and must be eligible to obtain a higher AGSVA security clearance: eg NV1 or NV2.




Embed URLs




As above


As above",4.1,"IBM
4.1",Sydney,10000+ Employees,1911,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
Data Masking Specialist,$97K - $141K (Glassdoor Est.),"Skill : Delphi
Minimum Experience : 5 - 8 Years
Location : Melbourne
Job Description
Tertiary qualification in Computer Science or similar discipline
* Must have a minimum of 2 years data profiling and masking experience
* Must have experience with Delphi or similar data masking tools
* Must have working knowledge and practical SQL experience with MS SQL Server and/or Oracle",3.9,"Tata Consultancy Services (TCS)
3.9",Melbourne,10000+ Employees,1968,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
"Data Graduates, Australian Government",$97K - $141K (Glassdoor Est.),"Data Analysts, Data Scientists and Statistical & Mathematical Graduates
Multiple graduate opportunities across the Australian Government
Permanent positions


We are not currently accepting applications for the Australian Government Graduate Program - Data stream.

Register your interest here to receive updates on new Data Graduate positions as they become available.



The Australian Government Graduate Program - Data Stream is a program offering recent graduates permanent employment across the Australian Government. The Data Stream is led by the Australian Bureau of Statistics who recruit for data roles on behalf of the Australian Government.

One application for a Data Graduate position gives you access to opportunities across Australia in multiple agencies.

A wide range of data graduate roles will be recruited for, including Data Analysts, Data Scientists and Statistical & Mathematical roles.



Some of the agencies you may be able to work at include:

There are no requirements for any particular degrees or disciplines though graduates who have undertaken data related, statistics and maths subjects are more likely to be successful.



It's quick and easy to register your interest for upcoming positions. Once you have submitted your form, you'll go on our mailing list and we'll notify as soon as we have more information.",4.0,"Australian Bureau of Statistics
4.0",Belconnen,1001 to 5000 Employees,1905,Government,Investment & Asset Management,Finance,$100 to $500 million (USD)
Instructor - Part Time Data Science,$97K - $141K (Glassdoor Est.),"In this 10-week, students learn the basis of Data Science with Python, and explore the power of applying data science algorithms and machine learning to big data sets.
We are looking for an experienced data scientist to lead this transformative experience as instructor for General Assembly's part-time Data Science course.
Skills and Qualifications
You are eager to shape the skills, minds, and trajectories of the newest generation of data scientists.
You are the person that your colleagues naturally gravitate to when they are trying to figure something out.
You have at least 3 years of industry experience with data science (prior teaching experience a plus).",4.1,"General Assembly
4.1",Sydney,501 to 1000 Employees,2011,Company - Private,Education Support & Training Services,Education,Unknown / Non-Applicable
Data & Reporting Specialist,$97K - $141K (Glassdoor Est.),"Data and Reporting Specialist
Be part of a group that is safety driven and values inclusion and diversity
Work in a cutting-edge technology hub in a diverse and dynamic team
Monday-Friday based at the Perth offices with flexible working from home arrangements.
About the role
All progress begins with pioneers. At Rio Tinto, it begins with you.
We are looking for a Data and Reporting Specialist to make a positive impact to the business by leading a team specialised in data architecture and data and reporting solutions, that drive critical business planning and improvement processes, with better service and support outcomes for Rio Tinto’s Iron Ore business in Western Australia.",3.8,"Rio Tinto
3.8",Perth,10000+ Employees,1873,Company - Public,Mining & Metals,"Energy, Mining, Utilities",$10+ billion (USD)
Data Scientist ( (Optimization Focused),$97K - $141K (Glassdoor Est.),"What you'll be doing
The Data Scientist will be developing and delivering end-to-end solutions including target optimization, ML modelling, and data pre-processing. The role involves analyzing data, identify the potential use cases, build predictive models, build recommendation engines, and advise the optimal solutions to maximize/minimize target variables.
You Could Expect Your Typical Day To Include Some Of The Following Things:
The time is now to be part of the Catch team. No two days are alike, and we are embarking on remarkable growth.
Develop optimization solutions to minimize/maximize target variables and optimize contradicting targets/objectives according to the business needs and constrains.
Working closely with the business to understand which business problems can be solved through ML and data science practices and techniques.",-1,Catch,Melbourne,1 to 50 Employees,-1,Company - Private,Office Supply & Copy Stores,Retail & Wholesale,Unknown / Non-Applicable
Head of Data Science,$97K - $141K (Glassdoor Est.),"Backed by an ambitious team, the latest technology, first-class customer service and a state of the art test facility, Carma makes buying pre-loved cars a seamless, hassle-free experience. Embrace the chance to be part of a fast-growing business right from the start.

About the Role
Ever wanted the chance to join a start-up just before it gets big, and really make your mark? This is it. We’re looking for a Head of Data Science to design, execute and manage our data insights capability, and help us gain a competitive edge.

Who we’re looking for
In a nutshell, we’re seeking an empathetic, over-achieving mathematician with strong analytics experience.
Responsibilities include",3.8,"Carma
3.8",Sydney,1 to 50 Employees,2007,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
Systems and Data Analyst,$97K - $141K (Glassdoor Est.),"Reference Number
64328

Position Title
Systems and Data Analyst

Location
Orygen Youth Health - Parkville

Award
Admin Officers NDC [79]

Advertisement text
Systems and Data Analyst",3.7,"Melbourne Health
3.7",Melbourne,5001 to 10000 Employees,-1,Hospital,Healthcare Services & Hospitals,Healthcare,$500 million to $1 billion (USD)
Geospatial Data Analyst,$97K - $141K (Glassdoor Est.),"About Wing:
Wing is reshaping the future of delivery. We are an on-demand drone delivery service that can deliver food, medicine or other items within minutes. We've also developed an uncrewed traffic management platform to safely route drones through the sky. Our service is faster, safer and produces far less pollution than traditional delivery. Originally created in 2012 within X, the Moonshot Factory, Wing is now an Alphabet company.
About the Role:
Wing is looking for a Geospatial Data Analyst to join our Flight Operations team based in the United States, Australia, or Europe with an option to work remotely. Geospatial data comprises a key element of Wing's drone delivery system by providing understanding of the environment the system is operating within. Therefore, this role plays an integral part in the operation of our delivery service. The ideal candidate has a passion for all things geospatial, demonstrated knowledge of industry best practices in geospatial data management, and the ability to deliver results as part of a dynamic, cross-functional team.",2.1,"Wing
2.1",Brisbane,51 to 200 Employees,1993,Subsidiary or Business Segment,Advertising & Public Relations,Media & Communication,$10 to $25 million (USD)
Data Analyst,$97K - $141K (Glassdoor Est.),"Brighter Futures Start here

As Australia’s biggest and most loved retailer, we’ve been brightening up everyday life for families for over 50 years. At our stores, distribution centres, and offices in Australia and New Zealand. All around the globe. Our diverse and inclusive 47,000 strong team come together for a common cause. Giving families easy access to our on-trend products and incredibly low prices – it’s the heart of everything we do.
As a leader in the retail market, we’re optimistic about our future and yours. We’re relentless in our pursuit for results, but changing at a rapid rate, giving you challenging work that you’ll be proud of. We celebrate your uniqueness and individuality. Because at Kmart it’s not just what you do, it’s who you are that makes every day living brighter.

Join the team",3.5,"Kmart
3.5",Mulgrave,10000+ Employees,1899,Subsidiary or Business Segment,General Merchandise & Superstores,Retail & Wholesale,$5 to $10 billion (USD)
Lecturers: Data Science,$97K - $141K (Glassdoor Est.),"Join our lecturing team for Trimester 2 beginning in July
Ongoing lecturing work available for strong performers
After three trimesters, be eligible for a permanent part-time position
Role
Kaplan Business School – one of the highest-quality providers of higher education in Australia – is seeking Lecturers in Adelaide, Brisbane, Melbourne, Perth and Sydney for the following areas:
Data Management and Storage
Time-series Forecasting
Machine Learning and Artificial Intelligence",3.6,"Kaplan Australia
3.6",Sydney,10000+ Employees,1938,Subsidiary or Business Segment,Education Support & Training Services,Education,$2 to $5 billion (USD)
Data Scientist - Australian Citizen,$97K - $141K (Glassdoor Est.),"Our client established its Canberra office in 2021 and has been steadily broadening its reach in Canberra ever since. They now need a Data Scientist to join their team, ideally with a Baseline security clearance. However, citizens that are a standout out candidate will be considered.
About you
Combination of deep technical and interpersonal skills to interface with all levels and disciplines within our customer’s organisation
Demonstrable track record of dealing well with ambiguity, prioritising needs, and delivering results in a dynamic environment
Experience in use of SQL, Python, R, Scala, Data Science Platforms
Machine Learning and Deep Learning frameworks",-1,Adactin Group Pty Ltd,Canberra,-1,-1,-1,-1,-1,-1
Data Science and Machine Learning Consultant / Manager,$97K - $141K (Glassdoor Est.),"Harness the power of data and artificial intelligence to accelerate change.
Join our Applied Intelligence team and create innovative, forward thinking and life changing solutions using cutting-edge technologies. We are changing the world fast, come with us.

Your role: Data Science and Machine Learning Consultant and Managers

You will be part of one global network, tapping into the deep expertise of our Applied Intelligence practice and be faced with boundaryless opportunities to excel.

Drive the growth of your team and build a diverse, entrepreneurial team of professionals with both qualitative and quantitative backgrounds using data-driven and insights-led approaches to respond quickly in a dynamic and ever-changing market",3.9,"Accenture
3.9",Sydney,10000+ Employees,1989,Company - Public,Business Consulting,Management & Consulting,$10+ billion (USD)
Business Data Analyst - Graduates Welcome to Apply!,$97K - $141K (Glassdoor Est.),"Hiring Business Graduates!
We are seeking Graduates who have interest in Business and Data Analysis. If you're passionate about Data Science, Data mining and modelling then look no further and apply now!
This role allows flexible and blended working options. We are open for candidates who aspire to join financial services industry and grow their career with Australia's leading fund administration company in Retirement and Superannuation.
Overview
Link Group is one of Australia's leading fund administration and share registry specialists. We are a market leading provider of technology-enabled administration solutions, continually developing our offerings to expand with our clients' needs. Since our inception, Link Group has been entrusted by clients to handle sensitive data in a secure and confidential manner. Our core businesses of fund administration and securities registration are complemented by our expertise in digital solutions and data analytics.",3.2,"Link Group
3.2",Melbourne,1001 to 5000 Employees,2005,Company - Public,Research & Development,Management & Consulting,$500 million to $1 billion (USD)
Data Scientist,$97K - $141K (Glassdoor Est.),"Discover the Algorithm to your next Career Move
Fun, energetic and open culture with great discounts for you and your family
Career Development Opportunities Across our Growing Network

About Us
The G’day Group is one of Australia’s leading and fastest growing tourism companies. With 300+ properties, and a portfolio that spans from holiday parks to some of Australia’s most iconic and internationally renowned properties, we are the largest regional accommodation group in Australia.
The business has an enviable portfolio of brands, including 85+ owned and operated parks and resorts (Discovery Parks), 220+ licensed independent parks (G’Day Parks) and 185,000+ Rewards Program customers (G’day Rewards).",3.3,"Discovery Parks
3.3",Australia,501 to 1000 Employees,-1,Company - Private,Hotels & Resorts,Hotel & Travel Accommodation,Unknown / Non-Applicable
Senior Research Fellow - Data Science,$97K - $141K (Glassdoor Est.),"International Centre for Radio Astronomy Research (ICRAR)
Lead research projects and learn new skills in a dynamic and supportive team environment
2-year fixed-term full time opportunity- flexible working arrangements are supported such as part time work or school hours
Base salary range: Level C $128,152 – $147,413 p.a. (pro rata) plus 17% superannuation
The University of Western Australia (UWA) is ranked amongst the top 100 universities in the world and a member of the prestigious Australian Group of Eight research-intensive universities. With an enviable research track record, vibrant campus and working environments, supported by the freedom to ‘innovate and inspire’ there is no better time to join Western Australia’s top university.",4.1,"University Of Western Australia
4.1",Australia,5001 to 10000 Employees,1911,College / University,Colleges & Universities,Education,$50 to $100 million (USD)
Data Scientist,$97K - $141K (Glassdoor Est.),"Overview:
Systems Planning and Analysis Australia Pty Ltd (SPA Australia) provides operational analysis and decision support services to the Department of Defence. We draw on a range of data and information sources in order to generate information-rich, user-friendly products that provide insights and recommendations to enhance Defence capability. SPA Australia is growing Australia's sovereign capability through local upskilling of its workforce by drawing on processes and tools used by our parent company SPA US, which has supported the US Department of Defense for the past 49 years. We provide formal and informal training opportunities for our team members.

SPA has a near-term need for a Junior Data Scientist/Analyst to work within a small, highly specialised team to collate, wrangle, transform, analyse and visualise a diverse range of sensitive data in support of specific current and future Navy capabilities.
Responsibilities:


Qualifications:",4.2,"Systems Planning and Analysis, Inc.
4.2",Canberra,1001 to 5000 Employees,1972,Company - Private,Aerospace & Defence,Aerospace & Defence,$100 to $500 million (USD)
BI Analyst,$90K (Employer Est.),"We are currently working with a top tier retailer in Australia and looking for a Business Intelligence analyst to join them.
The role
As a junior / mid-level BI analyst, this role supports the business with data and analytics requests and ensures its ongoing seamless operation. You will work with a high volume of data and contribute to the improvement of business processes and customer experience.
Key responsibilities
Analyze, design, customize and implement reporting solutions for both internal and external stakeholders
Test reporting dashboards and BI systems",-1,Logickube,Sydney,-1,-1,-1,-1,-1,-1
Data and Policy Analyst,$90K (Employer Est.),"About the Role
This role contributes to organisational priorities by providing expert data and policy analysis to support SAGE accreditation program. You will identify and define relevant data fields and metrics, manage the design and implementation of a suitable database solution, undertake outcome and impact analysis, perform statistical analysis, interpret data and provide data visualisation and reporting tasks. This position is full-time, available on a 2-year fixed term basis.
About you
You will be an experienced data and policy analyst, with at least 5 years’ statistical analysis (quantitative data and qualitative), data mining and working with complex datasets and a range of databases coupled with relevant tertiary qualifications. You will have knowledge of national and state-based gender equity and diversity data reporting systems and experience in small business and client services.",-1,Science in Australia Gender Equity,Canberra,-1,-1,-1,-1,-1,-1
Data Scientist,$90K (Employer Est.),"The data scientist is responsible for delivering data science and advanced analytics projects that contribute to audience selection and personalisation for customer recommendations, offers and 1-1 marketing campaigns, and improved health insurance business performance.
As well as bringing strong data processing and technical data science capabilities; you will also enjoy working closely with business stakeholders to understand requirements and translate these into data-driven approaches; bringing fresh ideas to ensure that data science projects are supporting the delivery of the health insurance business strategy and the customer analytics roadmap.
How will I help?
Execute analytical approaches, including (but not limited to) developing / training / optimising machine learning models, other forms of analytical modelling (e.g. descriptive, predictive) and applied statistics
Leverage capabilities of the new data science platform to productionise relevant analytical models / outputs
Full time",3.7,"Bupa
3.7",New South Wales,10000+ Employees,1947,Company - Private,Healthcare Services & Hospitals,Healthcare,$5 to $10 billion (USD)
"Quantum Researcher, Experiment (all levels)",$90K (Employer Est.),"Quantum Brilliance is the world leader in room-temperature quantum computing using synthetic diamonds. Our unique vision is to make quantum computing available as an everyday technology, from data centres to remote and mobile systems like autonomous robots and satellites. In contrast to quantum computers that fill a room, we are developing quantum accelerators with more compute power than a classical supercomputer but a form-factor smaller than a lunchbox.
We are a full-stack Australian-German quantum computing company, led and supported by the pioneers of diamond quantum information processing. Our HQs are in Canberra and Stuttgart, with additional locations across Australia and southern Germany. We are working with global technology leaders to develop quantum computing applications, integrate quantum with high-performance computing, solve materials science challenges and develop ultra-precise semiconductor manufacturing and control techniques. We are backed by leading venture-capital funds and major research and technology institutes.",2.4,"Quantum Brilliance
2.4",Canberra,51 to 200 Employees,2019,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
Data Analyst,$90K (Employer Est.),"About the Company:
Drive Yello helps businesses efficiently manage last-mile delivery and connects them to gig economy drivers, so they can meet the ever-increasing demand for convenience. We have ambitious growth plans and are looking for an inspiring Engineering Leader to drive the scaling of our application architecture and tech teams. We work with some of the largest retail clients here in Australia which include Woolworths, BWS, Dan Murphy’s, Coles, Terry White Chemmart just to name a few.
The Yello Platform provides retailers unprecedented access to data and control of last-mile delivery and has proven to help businesses not only improve their delivery service but also
enable them to provide delivery on demand. Retailers are attracted to Drive Yello as they not only get access to innovative technology but a marketplace of couriers to help them provide the convenience customers are demanding.",-1,Drive Yello,Surry Hills,-1,-1,-1,-1,-1,-1
